iter	Logloss
0	0.6906766777
1	0.6891301167
2	0.6875686646
3	0.6857322785
4	0.6838842645
5	0.682322123
6	0.6803922538
7	0.6785686907
8	0.676646405
9	0.6747777089
10	0.673310705
11	0.6713442515
12	0.6697608304
13	0.6683307786
14	0.6667136227
15	0.6646664171
16	0.6626819473
17	0.661307783
18	0.6591619009
19	0.6572565745
20	0.6557699916
21	0.6534396252
22	0.6513837791
23	0.6497384496
24	0.6481138942
25	0.6466083756
26	0.6444409382
27	0.6431246838
28	0.6412638469
29	0.6398611413
30	0.6385469092
31	0.636709466
32	0.6350245648
33	0.6335250211
34	0.6312448892
35	0.6300639417
36	0.6283908982
37	0.6267698357
38	0.6255078603
39	0.6241997409
40	0.6224933303
41	0.6210667254
42	0.6190884142
43	0.6177267052
44	0.6156107891
45	0.6141911702
46	0.6124142107
47	0.6110018075
48	0.6093471481
49	0.6071520886
50	0.6059206767
51	0.6041615957
52	0.6023434099
53	0.6007312177
54	0.5990199813
55	0.5977247767
56	0.5962957819
57	0.5948427499
58	0.5934928986
59	0.5923817186
60	0.5907414448
61	0.5891469473
62	0.5876502531
63	0.5863342285
64	0.5851542461
65	0.5837875274
66	0.5823782955
67	0.5813599092
68	0.5802366877
69	0.5788809995
70	0.5779989771
71	0.5768780536
72	0.5759594469
73	0.574408198
74	0.5731418104
75	0.5717415407
76	0.5703704099
77	0.5691224064
78	0.5677619383
79	0.5669904042
80	0.566027354
81	0.5647932305
82	0.563343186
83	0.5615541389
84	0.5602953348
85	0.5590732988
86	0.5579881783
87	0.5566854822
88	0.555549162
89	0.5545353717
90	0.5536132261
91	0.552501081
92	0.5511548146
93	0.5496317852
94	0.5484961085
95	0.5473472871
96	0.5460725807
97	0.5451162867
98	0.5442003457
99	0.5428344543
100	0.5417778751
101	0.5404169473
102	0.5389584461
103	0.5378353165
104	0.5367833333
105	0.5356688902
106	0.5346556055
107	0.5333541043
108	0.5323350286
109	0.531288147
110	0.5298221083
111	0.5289455092
112	0.5279652239
113	0.5267137734
114	0.5255171075
115	0.5241027281
116	0.5230803432
117	0.5221945521
118	0.5213892374
119	0.5202946031
120	0.5194041241
121	0.5184627671
122	0.5173915266
123	0.5161929763
124	0.5148914751
125	0.5141479768
126	0.5129404642
127	0.5116284382
128	0.5104450088
129	0.5094261629
130	0.5084519903
131	0.5072129491
132	0.5062346861
133	0.5052562852
134	0.504131455
135	0.5030789663
136	0.5023006761
137	0.5010825927
138	0.5001348932
139	0.498873883
140	0.4979744417
141	0.4969987525
142	0.4956903113
143	0.4947290995
144	0.4935811054
145	0.4927418261
146	0.4919547575
